transaction_id,wallet_id,timestamp,transaction_type,amount_ngn,fee_ngn,balance_after_ngn,agent_id,channel,device_os,kyc_tier,fraud_flag,churn_30d,is_amount_ngn_outlier,is_fee_ngn_outlier,is_balance_after_ngn_outlier
670cb466-5b2f-4b58-97dd-01bb8e1ec334,WLT-00011948,2024-01-26 09:47:00,airtime,200.0,10.0,12526.048441827523,,ussd,feature_phone,tier1,False,False,False,False,False
43e8b4cf-c0af-42de-a7c5-2fe8918a02ce,WLT-00000012,2024-04-07 12:28:00,airtime,200.0,10.0,9270.42482376136,,app,feature_phone,tier1,False,False,False,False,False
39d3c5f9-36cf-4a09-b419-d39c06101803,WLT-00096156,2024-03-29 17:18:00,billpay,2550.0,10.0,6235.176425051529,,ussd,android,tier1,False,False,False,False,False
60bdf171-b574-4afc-bf4e-fbeb6b701ce2,WLT-00241010,2024-05-10 13:37:00,cashin,100.0,10.0,39951.111769469,AGT-00006361,app,android,tier1,False,False,False,False,True
348cd189-43fa-44e5-b212-54f8b03671a3,WLT-00234927,2024-03-12 18:24:00,airtime,2000.0,10.0,1532.9804795318712,,app,android,tier2,False,False,False,False,False
47b9f201-a9b8-452e-8ae0-6d0c977a2f98,WLT-00000066,2024-03-08 19:14:00,billpay,3100.0,10.0,7664.549890907133,,ussd,android,tier1,False,False,False,False,False
3e0546c1-b992-4305-bacb-0cd058d125ea,WLT-00000318,2024-05-16 06:06:00,airtime,1000.0,10.0,2398.7820947052796,,app,feature_phone,tier2,False,False,False,False,False
e617a26d-4375-43b8-93f8-439807474860,WLT-00036065,2024-01-03 11:11:00,billpay,2450.0,10.0,962.173640956361,,app,android,tier1,False,True,False,False,False
1b4b0a12-339e-4365-a770-d94bfbbad59a,WLT-00000007,2024-03-04 10:34:00,cashin,1500.0,10.0,38504.7403455098,AGT-00005317,ussd,android,tier1,False,False,False,False,True
f6063899-e3fc-48b0-9ef8-fae1a7283fe8,WLT-00126883,2024-02-02 23:25:00,cashin,44300.0,200.0,3725.176634762603,AGT-00002373,app,android,tier2,False,False,True,True,False
009ef875-3a77-472d-8d91-a37647b178f4,WLT-00049902,2024-01-13 13:45:00,p2p_send,300.0,10.0,1371.3007895167982,,app,android,tier2,False,False,False,False,False
8b876c37-27b2-486a-8bd0-5d12f54321f2,WLT-00001388,2024-06-10 16:49:00,p2p_send,700.0,10.0,2432.737756225364,,app,android,tier1,False,False,False,False,False
fbd28459-6283-4490-8d18-57fb5022f61a,WLT-00031026,2024-01-29 11:15:00,p2p_send,3000.0,10.0,64632.01260684468,,app,feature_phone,tier1,False,False,False,False,True
8f31956c-b6ea-422f-817f-eeec97941906,WLT-00000001,2024-04-06 19:10:00,p2p_send,350.0,10.0,8412.415658516904,,app,android,tier2,False,False,False,False,False
9f19cf41-7da2-4d76-8d1c-791f562ec81c,WLT-00004873,2024-04-21 13:32:00,airtime,2000.0,10.0,1399.6868987843886,,ussd,android,tier1,False,False,False,False,False
15753a21-b6e1-437b-942c-1bb5dd397436,WLT-00007887,2024-03-26 09:00:00,cashout,2550.0,10.0,13856.311326648547,AGT-00000437,ussd,feature_phone,tier1,False,False,False,False,False
cf7480b3-8d3e-4de9-9aae-88cfdebd7f14,WLT-00001001,2024-03-15 15:01:00,airtime,1500.0,10.0,3683.4042717786365,,ussd,feature_phone,tier2,False,False,False,False,False
004a81aa-6998-4108-93f8-6ce80da85969,WLT-00339795,2024-06-21 14:06:00,p2p_receive,600.0,10.0,9160.416252422949,,agent,ios,tier1,False,False,False,False,False
5a6bd461-e034-4214-bb55-9e1c7e5f42f7,WLT-00372401,2024-04-04 20:29:00,airtime,1000.0,10.0,19284.833460602673,,app,ios,tier1,False,False,False,False,False
92f9fa79-a0f9-43b0-9752-f9d17841d803,WLT-00189139,2024-04-02 18:32:00,airtime,500.0,10.0,27155.000373158146,,ussd,android,tier1,False,True,False,False,False
31f688b4-e83d-467f-8dc1-9fac0c1d21a7,WLT-00000148,2024-01-06 07:43:00,cashin,2250.0,10.0,20240.05586875057,AGT-00005294,ussd,feature_phone,tier1,False,False,False,False,False
bfbd9a6a-9576-489c-80c1-32ae105a8425,WLT-00311487,2024-05-20 12:37:00,p2p_receive,2500.0,10.0,15532.8190404821,,ussd,android,tier1,False,False,False,False,False
c7b04958-1d83-4032-97fb-6edd77bed07b,WLT-00000004,2024-01-02 06:26:00,p2p_send,650.0,10.0,18813.747659127377,,ussd,feature_phone,tier2,False,False,False,False,False
aa4feb59-2a77-46da-892a-27c1967784de,WLT-00180734,2024-03-25 09:35:00,p2p_receive,1000.0,10.0,4036.60157255782,,app,android,tier2,False,False,False,False,False
ef1729a9-c3a0-4635-9f5a-d86d003dd9fc,WLT-00000108,2024-01-22 10:21:00,billpay,100.0,10.0,30704.576723004233,,ussd,android,tier1,False,False,False,False,False
3d2006b8-cc64-4656-b16b-337911380362,WLT-00017236,2024-04-01 10:19:00,p2p_send,4050.0,10.0,8389.387970743088,,ussd,android,tier1,False,False,False,False,False
94a47a69-49aa-4af2-bde4-ee0602529b44,WLT-00008316,2024-01-27 13:33:00,p2p_send,1800.0,10.0,10148.994493216902,,agent,feature_phone,tier1,False,False,False,False,False
7eeaacfd-0961-4782-b6f0-c4270f8d9468,WLT-00073249,2024-02-18 20:04:00,p2p_receive,900.0,10.0,4207.950439246126,,app,android,tier1,False,False,False,False,False
5b854390-4200-4211-8eb4-14ce5dd61329,WLT-00019313,2024-01-10 18:16:00,p2p_send,2600.0,10.0,8666.480635910239,,ussd,android,tier1,False,False,False,False,False
